INFO:root:Number of parameters: 369498
INFO:root:140: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0933
INFO:root:141: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0934
INFO:root:142: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0935
INFO:root:143: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0936
INFO:root:144: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0936
INFO:root:145: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0935
INFO:root:146: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0935
INFO:root:147: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0934
INFO:root:148: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0933
INFO:root:149: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0931
INFO:root:150: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0005, L-val: 4.0934
INFO:root:151: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0005, L-val: 4.0937
INFO:root:152: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0005, L-val: 4.0939
INFO:root:153: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0005, L-val: 4.0941
INFO:root:154: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0005, L-val: 4.0943
INFO:root:155: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0945
INFO:root:156: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0947
INFO:root:157: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0949
INFO:root:158: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0950
INFO:root:159: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0952
INFO:root:160: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0953
INFO:root:161: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0954
INFO:root:162: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0956
INFO:root:163: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0956
INFO:root:164: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0957
INFO:root:165: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0958
INFO:root:166: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
INFO:root:167: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
