INFO:root:Number of parameters: 369498
INFO:root:209: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0010, L-val: 7.9555
INFO:root:210: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0010, L-val: 7.9876
INFO:root:211: Acc-tr: 100.00, Acc-val:  10.27, L-tr: 0.0011, L-val: 7.9714
INFO:root:212: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0010, L-val: 7.9700
INFO:root:213: Acc-tr: 100.00, Acc-val:  10.21, L-tr: 0.0009, L-val: 7.9915
INFO:root:214: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0010, L-val: 7.9541
INFO:root:215: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0009, L-val: 7.9420
INFO:root:216: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0009, L-val: 7.8947
INFO:root:217: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0009, L-val: 7.9583
INFO:root:218: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0010, L-val: 7.9488
INFO:root:219: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0009, L-val: 7.8868
INFO:root:220: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0009, L-val: 7.9125
INFO:root:221: Acc-tr: 100.00, Acc-val:  10.20, L-tr: 0.0009, L-val: 7.8462
INFO:root:222: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0008, L-val: 7.8862
INFO:root:223: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0009, L-val: 7.8797
INFO:root:224: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0009, L-val: 7.8690
INFO:root:225: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0009, L-val: 7.9024
INFO:root:226: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0010, L-val: 7.8693
INFO:root:227: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0009, L-val: 7.8643
INFO:root:228: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0008, L-val: 7.8849
INFO:root:229: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0008, L-val: 7.8833
INFO:root:230: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0008, L-val: 7.8919
INFO:root:231: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0008, L-val: 7.8698
INFO:root:232: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0008, L-val: 7.8284
INFO:root:233: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0009, L-val: 7.8881
INFO:root:234: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0008, L-val: 7.8953
INFO:root:235: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0008, L-val: 7.8920
INFO:root:236: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0008, L-val: 7.8788
INFO:root:237: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0008, L-val: 7.9132
INFO:root:238: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0008, L-val: 7.8834
INFO:root:239: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0008, L-val: 7.8724
INFO:root:240: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0008, L-val: 7.8642
INFO:root:241: Acc-tr: 100.00, Acc-val:  10.15, L-tr: 0.0008, L-val: 7.9093
INFO:root:242: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0008, L-val: 7.8971
INFO:root:243: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0008, L-val: 7.8389
INFO:root:244: Acc-tr: 100.00, Acc-val:  10.20, L-tr: 0.0008, L-val: 7.8912
INFO:root:245: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0008, L-val: 7.8724
INFO:root:246: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0008, L-val: 7.8417
INFO:root:247: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0008, L-val: 7.8735
INFO:root:248: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0008, L-val: 7.8663
INFO:root:249: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0008, L-val: 7.8747
INFO:root:250: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0008, L-val: 7.8896
INFO:root:251: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0007, L-val: 7.8648
INFO:root:252: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0007, L-val: 7.9102
INFO:root:253: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0008, L-val: 7.8624
INFO:root:254: Acc-tr: 100.00, Acc-val:  10.59, L-tr: 0.0008, L-val: 7.8232
INFO:root:255: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0008, L-val: 7.8865
INFO:root:256: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0008, L-val: 7.8456
INFO:root:257: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0008, L-val: 7.8423
INFO:root:258: Acc-tr: 100.00, Acc-val:  10.19, L-tr: 0.0008, L-val: 7.8581
INFO:root:259: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0009, L-val: 7.8896
INFO:root:260: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0007, L-val: 7.8528
INFO:root:261: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0008, L-val: 7.8442
INFO:root:262: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0008, L-val: 7.8651
INFO:root:263: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0007, L-val: 7.8907
INFO:root:264: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0008, L-val: 7.8452
INFO:root:265: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0008, L-val: 7.8484
INFO:root:266: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0007, L-val: 7.8617
